OUR,ORACLE,NO-GROUP,SAMPLE,G-LASSO,TIGER,CLIME,POET
24.8817845459942,24.9472722520215,111.314504137635,363.002442170162,71.3103301405909,27.3524095842277,61.1505316282346,73.0687624783316
24.9845940625308,25.027860159944,109.390505413593,362.575994938135,71.4546943499683,28.3691646609085,70.0799239792484,83.6520538808424
27.6868411139962,25.2955323755994,106.56355824391,362.894420468492,71.5188046844883,28.8245294020791,61.7107125167145,80.1280083573514
24.7075837565541,24.6954786792594,110.638328378208,363.914986483125,71.3677273585929,27.9173541453675,66.7386746150835,84.0370326884317
24.9362640022807,24.8095792958078,106.340894699976,371.920062233889,71.502832497646,28.6518746208784,75.8078645189034,83.8617742747246
24.4486067635095,24.5022645916715,111.969225629721,375.367545077866,71.3279902747448,27.6230903868503,67.1622489727486,80.6020495549837
24.3903677514555,24.3575632948931,107.119870136366,406.035982491482,71.3877274106133,27.9030644011016,58.6691897874755,79.1915725625181
24.8568153617594,24.7758737673944,110.442521506354,405.654625246917,71.4201303726444,28.0217370601103,63.8266506128876,85.0660318629669
24.5614682628159,24.4948623692707,113.069696796364,352.518017040574,71.2752336063865,27.2934275773917,61.8268311835335,82.4892684872431
26.7138676114795,24.6148396130286,106.350068302056,357.20155293411,71.4556341621444,28.2110059922991,67.9903437744521,82.1149658820943
24.8789126772986,24.8845429503138,110.774904972502,355.547152692018,71.3130519775878,27.4605073092157,66.1221784852973,76.3651571829414
24.7333667983158,24.7333667983158,115.691603466579,370.322334349709,71.3416956075191,27.9993735191936,59.3321282633859,81.8150971338952
24.6174861581799,24.5726177384445,108.195268828985,379.73369838226,71.3684252473827,27.6822877372129,73.1841513080265,77.9615381616958
24.7347506604376,24.735547484549,101.918268646361,334.567832043944,71.3703881518698,27.5962793664333,73.3848279068206,78.517263204376
27.781567789388,24.8812615936159,104.665424185413,353.944034973896,71.2904821773248,27.1524281572705,62.2124765371599,85.8293130727967
24.3641301407741,24.4251160463931,113.88082180269,406.597015613426,71.3429409891595,27.6407583302067,60.9746952761074,81.2154221403626
24.3793521708689,24.3731090702309,106.036226187039,377.778443099714,71.3212076836422,27.5086660792116,73.2235566647818,82.8715445288907
24.0131971646183,23.9663703599669,106.16826337212,375.238966055631,71.262701116852,26.6793138826943,61.0051692457129,79.2264476042864
25.103050361458,24.8563000231364,115.745459737645,371.161049109274,71.1470197293623,26.584024006629,66.0147443807241,81.7166200117653
27.3340552130987,24.9541386312265,105.616732687794,370.879489770154,71.3481370181892,27.6811858859798,64.5437199448667,86.1120139209281
24.710974177235,24.6895894122841,107.847196165178,353.527413067552,71.6104551775797,29.2504395106295,66.445043350149,79.3621735482017
24.4909663567252,24.4274997537754,109.79522852323,382.800138155311,71.4311981798969,28.1204848397892,63.2561040898904,84.6072782259494
26.7503653073584,24.4347664703282,109.952270461418,390.204358473589,71.2646730857251,27.1149326447596,60.7569295679557,80.0304736288021
24.9729468360064,24.9985553165611,110.260905364349,399.149035807255,71.29241407163,27.382804748567,62.6207732458841,82.1195922859448
24.845629110359,24.822319847893,113.40447738143,385.422692020364,71.3034929089746,27.5654551664327,61.3205612179772,80.0552328482878
24.1027304671859,24.0658131436914,111.66100975651,389.956202498586,71.0854170742262,25.5807714249666,63.9879750453596,78.8609569510343
